date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:24:51,1,Peru,@TeamLeeMinHo Eres hermoso 💖💖💖💖,4,31,7.0,0,0
2018-09-21 22:25:05,1201,Barranco,"🎵 Quiero que esto comience y que ya no te detengas
Y que me tires el pelo y que me chupes las et!
Yo quiero que hag… https://t.co/pJ8ju0pkXi",26,140,4.035714285714286,0,0
2018-09-21 22:25:12,37,Peru,"Dentro de la celebración del 4º aniversario de #HeForShe, movimiento lanzado por @ONUMujeres, con el apoyo de… https://t.co/jzDki9zwyq",18,134,6.5,1,0
2018-09-21 22:25:13,133,San Borja,Que fino! Habrá entendido? Jajajaja,5,35,6.2,0,0
2018-09-21 22:25:15,2,Peru,"Tu Imagen Publicitaria mejor que nunca

Aprovecha la Oferta de Roll Screen, Diferentes Tamaños, Excelente Calidad.… https://t.co/HKJXuvsH2e",16,139,7.176470588235294,0,0
2018-09-21 22:25:26,338,La Molina,@CristhianRS @NetflixLAT Intensamente pa llorar,5,47,8.6,0,0
2018-09-21 22:25:36,11731,Lima,#ReformaTransporte | Mañana inicia el servicio del corredor verde que conectará Lima y Callao desde la Estación Gra… https://t.co/MFrDGLCxf7,19,140,6.421052631578948,1,0
2018-09-21 22:25:53,3423,Lima,•Amor mío ♥• https://t.co/QWOIdGpWgC,4,36,8.25,0,0
2018-09-21 22:26:10,1193,San Martin de Porres,"Bésame una hora, quisiera quedarme con tu sonrisa como recuerdo para cuando extrañe",13,83,5.461538461538462,0,0
2018-09-21 22:26:21,1193,San Martin de Porres,JAMÁS VIVÍ COSA TAN BUENA,5,25,4.2,0,0
2018-09-21 22:26:37,8848,Peru,"211. #Sicario2  
🎟 20 de setiembre
✅ en DVD 
🌟8/10 https://t.co/1CSBD0KgPx",11,74,5.545454545454546,1,1
2018-09-21 22:26:45,37,Magdalena Vieja,"@noticiAmerica Y  el firmõ el pacto electoral y ahora le pone peros , conchudazo",15,80,4.714285714285714,0,0
2018-09-21 22:26:53,45,Miraflores,"Si tienes 💆‍♂️ la Paciencia de la Tierra 🌏 , La pureza 😇 del agua 🌊 y la ⚖️ Justicia del Viento 🌬❄️, entonces eres… https://t.co/6lapXwXAEC",26,139,4.384615384615385,0,0
2018-09-21 22:27:03,1193,San Martin de Porres,"Y no me tengas miedo, nada más brindo a nuestro nombre",11,54,4.0,0,0
2018-09-21 22:27:03,2061,Santiago de Surco,Te quiero mi cumpleañera hermosa😟,5,33,5.8,0,0
